Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-03-10,566.74,567.0,547.9,558.93,558.93,Amazon,2016,3
2016-03-11,566.95,570.06,562.73,569.61,569.61,Amazon,2016,3
2016-03-14,567.0,576.89,563.05,573.37,573.37,Amazon,2016,3
2016-03-15,571.0,581.52,567.0,577.02,577.02,Amazon,2016,3
2016-03-16,576.64,581.32,571.14,574.27,574.27,Amazon,2016,3
2016-03-17,569.51,571.4,555.01,559.44,559.44,Amazon,2016,3
2016-03-18,560.94,562.33,546.09,552.08,552.08,Amazon,2016,3
2016-03-21,548.91,555.24,538.58,553.98,553.98,Amazon,2016,3
2016-03-22,545.11,562.76,545.05,560.48,560.48,Amazon,2016,3
2016-03-23,561.0,572.48,558.1,569.63,569.63,Amazon,2016,3
2016-03-24,567.11,583.55,567.08,582.95,582.95,Amazon,2016,3
2016-03-28,584.4,584.75,575.56,579.87,579.87,Amazon,2016,3
2016-03-29,580.15,595.85,576.5,593.86,593.86,Amazon,2016,3
2016-03-30,596.71,603.24,595.0,598.69,598.69,Amazon,2016,3
2016-03-31,599.28,600.75,592.21,593.64,593.64,Amazon,2016,3
2016-04-01,590.49,599.03,588.3,598.5,598.5,Amazon,2016,4
2016-04-04,599.0,599.5,590.55,593.19,593.19,Amazon,2016,4
2016-04-05,590.77,593.47,585.25,586.14,586.14,Amazon,2016,4
2016-04-06,587.52,602.39,587.5,602.08,602.08,Amazon,2016,4
2016-04-07,598.76,599.6,589.08,591.43,591.43,Amazon,2016,4
2016-04-08,594.32,597.86,589.0,594.6,594.6,Amazon,2016,4
2016-04-11,596.14,604.0,594.91,595.93,595.93,Amazon,2016,4
2016-04-12,598.4,604.06,592.31,603.17,603.17,Amazon,2016,4
2016-04-13,607.68,616.81,605.29,614.82,614.82,Amazon,2016,4
2016-04-14,615.07,624.38,615.07,620.75,620.75,Amazon,2016,4
2016-04-15,621.92,626.77,618.11,625.89,625.89,Amazon,2016,4
2016-04-18,625.35,637.64,624.96,635.35,635.35,Amazon,2016,4
2016-04-19,637.14,638.01,620.8,627.9,627.9,Amazon,2016,4
2016-04-20,630.0,636.55,623.0,632.99,632.99,Amazon,2016,4
2016-04-21,631.0,637.82,628.5,631.0,631.0,Amazon,2016,4
2016-04-22,624.47,628.25,611.56,620.5,620.5,Amazon,2016,4
2016-04-25,616.61,626.98,616.25,626.2,626.2,Amazon,2016,4
2016-04-26,626.17,626.75,614.88,616.88,616.88,Amazon,2016,4
2016-04-27,611.8,615.95,601.28,606.57,606.57,Amazon,2016,4
2016-04-28,615.54,626.8,599.2,602.0,602.0,Amazon,2016,4
2016-04-29,666.0,669.98,654.0,659.59,659.59,Amazon,2016,4
2016-05-02,663.92,685.5,662.03,683.85,683.85,Amazon,2016,5
2016-05-03,677.36,680.3,670.43,671.32,671.32,Amazon,2016,5
2016-05-04,662.59,674.0,662.14,670.9,670.9,Amazon,2016,5
2016-05-05,673.31,676.49,656.0,659.09,659.09,Amazon,2016,5
2016-05-06,656.05,676.95,656.01,673.95,673.95,Amazon,2016,5
2016-05-09,673.95,686.98,671.41,679.75,679.75,Amazon,2016,5
2016-05-10,694.0,704.55,693.5,703.07,703.07,Amazon,2016,5
2016-05-11,705.79,719.0,701.65,713.23,713.23,Amazon,2016,5
2016-05-12,717.38,722.45,711.51,717.93,717.93,Amazon,2016,5
2016-05-13,714.64,719.25,706.51,709.92,709.92,Amazon,2016,5
2016-05-16,710.13,713.25,700.28,710.66,710.66,Amazon,2016,5
2016-05-17,709.9,714.47,693.91,695.27,695.27,Amazon,2016,5
2016-05-18,689.56,702.54,688.76,697.45,697.45,Amazon,2016,5
2016-05-19,691.88,699.4,689.56,698.52,698.52,Amazon,2016,5
2016-05-20,701.05,707.24,700.0,702.8,702.8,Amazon,2016,5
2016-05-23,704.25,706.0,696.42,696.75,696.75,Amazon,2016,5
2016-05-24,698.01,707.5,698.0,704.2,704.2,Amazon,2016,5
2016-05-25,708.0,710.86,705.52,708.35,708.35,Amazon,2016,5
2016-05-26,708.33,715.0,707.29,714.91,714.91,Amazon,2016,5
2016-05-27,715.0,716.6,711.1,712.24,712.24,Amazon,2016,5
2016-05-31,712.33,724.23,711.32,722.79,722.79,Amazon,2016,5
2016-06-01,720.9,726.43,718.22,719.44,719.44,Amazon,2016,6
2016-06-02,720.97,728.28,715.5,728.24,728.24,Amazon,2016,6
2016-06-03,726.74,727.0,718.43,725.54,725.54,Amazon,2016,6
2016-06-06,726.5,731.5,724.42,726.73,726.73,Amazon,2016,6
2016-06-07,729.89,730.0,720.55,723.74,723.74,Amazon,2016,6
2016-06-08,726.4,729.42,721.6,726.64,726.64,Amazon,2016,6
2016-06-09,723.1,728.91,722.3,727.65,727.65,Amazon,2016,6
2016-06-10,722.35,724.98,714.21,717.91,717.91,Amazon,2016,6
2016-06-13,714.01,721.99,711.16,715.24,715.24,Amazon,2016,6
2016-06-14,712.33,720.81,712.27,719.3,719.3,Amazon,2016,6
2016-06-15,722.0,722.56,713.35,714.26,714.26,Amazon,2016,6
2016-06-16,712.05,718.0,705.3,717.51,717.51,Amazon,2016,6
2016-06-17,718.19,718.2,699.18,706.39,706.39,Amazon,2016,6
2016-06-20,713.5,721.31,710.81,714.01,714.01,Amazon,2016,6
2016-06-21,715.72,718.4,712.72,715.82,715.82,Amazon,2016,6
2016-06-22,716.58,717.0,707.57,710.6,710.6,Amazon,2016,6
2016-06-23,715.5,722.12,712.5,722.08,722.08,Amazon,2016,6
2016-06-24,693.0,712.53,692.2,698.96,698.96,Amazon,2016,6
2016-06-27,692.01,696.82,682.12,691.36,691.36,Amazon,2016,6
2016-06-28,700.0,708.0,698.17,707.95,707.95,Amazon,2016,6
2016-06-29,715.75,719.5,713.54,715.6,715.6,Amazon,2016,6
2016-06-30,717.2,719.37,712.54,715.62,715.62,Amazon,2016,6
2016-07-01,717.32,728.0,716.54,725.68,725.68,Amazon,2016,7
2016-07-05,722.8,729.56,719.61,728.1,728.1,Amazon,2016,7
2016-07-06,725.71,737.77,722.58,737.61,737.61,Amazon,2016,7
2016-07-07,739.33,739.55,731.63,736.57,736.57,Amazon,2016,7
2016-07-08,740.14,746.1,738.0,745.81,745.81,Amazon,2016,7
2016-07-11,750.0,755.9,747.0,753.78,753.78,Amazon,2016,7
2016-07-12,756.86,757.34,740.33,748.21,748.21,Amazon,2016,7
2016-07-13,746.76,756.87,741.25,742.63,742.63,Amazon,2016,7
