Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-03-09,101.31,101.58,100.27,101.12,94.51,Apple,2016,3
2016-03-10,101.41,102.24,100.15,101.17,94.56,Apple,2016,3
2016-03-11,102.24,102.28,101.5,102.26,95.58,Apple,2016,3
2016-03-14,101.91,102.91,101.78,102.52,95.82,Apple,2016,3
2016-03-15,103.96,105.18,103.85,104.58,97.75,Apple,2016,3
2016-03-16,104.61,106.31,104.59,105.97,99.05,Apple,2016,3
2016-03-17,105.52,106.47,104.96,105.8,98.89,Apple,2016,3
2016-03-18,106.34,106.5,105.19,105.92,99.0,Apple,2016,3
2016-03-21,105.93,107.65,105.14,105.91,98.99,Apple,2016,3
2016-03-22,105.25,107.29,105.21,106.72,99.75,Apple,2016,3
2016-03-23,106.48,107.07,105.9,106.13,99.2,Apple,2016,3
2016-03-24,105.47,106.25,104.89,105.67,98.77,Apple,2016,3
2016-03-28,106.0,106.19,105.06,105.19,98.32,Apple,2016,3
2016-03-29,104.89,107.79,104.88,107.68,100.65,Apple,2016,3
2016-03-30,108.65,110.42,108.6,109.56,102.4,Apple,2016,3
2016-03-31,109.72,109.9,108.88,108.99,101.87,Apple,2016,3
2016-04-01,108.78,110.0,108.2,109.99,102.8,Apple,2016,4
2016-04-04,110.42,112.19,110.27,111.12,103.86,Apple,2016,4
2016-04-05,109.51,110.73,109.42,109.81,102.64,Apple,2016,4
2016-04-06,110.23,110.98,109.2,110.96,103.71,Apple,2016,4
2016-04-07,109.95,110.42,108.12,108.54,101.45,Apple,2016,4
2016-04-08,108.91,109.77,108.17,108.66,101.56,Apple,2016,4
2016-04-11,108.97,110.61,108.83,109.02,101.9,Apple,2016,4
2016-04-12,109.34,110.5,108.66,110.44,103.23,Apple,2016,4
2016-04-13,110.8,112.34,110.8,112.04,104.72,Apple,2016,4
2016-04-14,111.62,112.39,111.33,112.1,104.78,Apple,2016,4
2016-04-15,112.11,112.3,109.73,109.85,102.67,Apple,2016,4
2016-04-18,108.89,108.95,106.94,107.48,100.46,Apple,2016,4
2016-04-19,107.88,108.0,106.23,106.91,99.93,Apple,2016,4
2016-04-20,106.64,108.09,106.06,107.13,100.13,Apple,2016,4
2016-04-21,106.93,106.93,105.52,105.97,99.05,Apple,2016,4
2016-04-22,105.01,106.48,104.62,105.68,98.78,Apple,2016,4
2016-04-25,105.0,105.65,104.51,105.08,98.22,Apple,2016,4
2016-04-26,103.91,105.3,103.91,104.35,97.53,Apple,2016,4
2016-04-27,96.0,98.71,95.68,97.82,91.43,Apple,2016,4
2016-04-28,97.61,97.88,94.25,94.83,88.63,Apple,2016,4
2016-04-29,93.99,94.72,92.51,93.74,87.62,Apple,2016,4
2016-05-02,93.96,94.08,92.4,93.64,87.52,Apple,2016,5
2016-05-03,94.2,95.74,93.68,95.18,88.96,Apple,2016,5
2016-05-04,95.2,95.9,93.82,94.19,88.04,Apple,2016,5
2016-05-05,94.0,94.07,92.68,93.24,87.68,Apple,2016,5
2016-05-06,93.37,93.45,91.85,92.72,87.19,Apple,2016,5
2016-05-09,93.0,93.77,92.59,92.79,87.26,Apple,2016,5
2016-05-10,93.33,93.57,92.11,93.42,87.85,Apple,2016,5
2016-05-11,93.48,93.57,92.46,92.51,86.99,Apple,2016,5
2016-05-12,92.72,92.78,89.47,90.34,84.95,Apple,2016,5
2016-05-13,90.0,91.67,90.0,90.52,85.12,Apple,2016,5
2016-05-16,92.39,94.39,91.65,93.88,88.28,Apple,2016,5
2016-05-17,94.55,94.7,93.01,93.49,87.92,Apple,2016,5
2016-05-18,94.16,95.21,93.89,94.56,88.92,Apple,2016,5
2016-05-19,94.64,94.64,93.57,94.2,88.58,Apple,2016,5
2016-05-20,94.64,95.43,94.52,95.22,89.54,Apple,2016,5
